,open,high,low,close,volume
20201207,20750,20860,20180,20650,80589125
20201204,19885,20670,19880,20455,72300631
20201203,19545,19770,19430,19730,62986423
20201202,18980,19505,18940,19480,72364869
20201201,18520,18925,18475,18840,50686032
20201130,18965,19100,18330,18330,60792923
20201127,18720,18895,18630,18850,48784438
20201126,18380,18755,18275,18755,52898522
20201125,18830,18960,18185,18395,81235044
20201124,18505,18800,18395,18610,70018228
20201123,17665,18400,17590,18350,66558284
20201120,17430,17690,17375,17565,57151296
20201119,17365,17535,17265,17535,46182385
20201118,17555,17705,17420,17495,49798181
20201117,17605,17770,17450,17550,64994143
20201116,17020,17650,16980,17570,70135877
20201113,16360,16860,16345,16840,54863087
20201112,16610,16690,16405,16510,55794618
20201111,16220,16695,16220,16665,60856969
20201110,16280,16285,15925,16140,71041610
20201109,16060,16385,16040,16165,66381491
20201106,15800,16000,15665,15765,62338330
20201105,15195,15695,15135,15670,68150084
20201104,15085,15175,14765,15000,119623105
20201103,14340,14850,14335,14820,49844786
20201102,13885,14270,13855,14240,47810267
20201030,14500,14515,13820,13860,69968858
20201029,14545,14645,14295,14625,68556019
20201028,14660,14945,14585,14945,34500757
20201027,14840,15005,14710,14800,46822611
20201026,15170,15300,15005,15015,47012732
20201023,15120,15205,14875,15105,50517474
20201022,15060,15065,14815,15000,53780739
20201021,15150,15290,15065,15220,48358813
20201020,14755,15115,14665,15115,62337674
20201019,14985,15135,14885,14910,45888489
20201016,15060,15150,14635,14835,62520768
20201015,15180,15220,14875,15015,60844042
20201014,15565,15595,15180,15240,58906471
20201013,15710,15745,15320,15545,57859984
20201012,15555,15635,15425,15530,42688597
20201008,15630,15660,15300,15415,54250155
20201007,14880,15390,14850,15390,46505350
20201006,15165,15290,14980,15085,51113915
20201005,14685,15120,14615,15030,51672946
20200929,14735,14810,14560,14645,60068100
20200928,14305,14505,14175,14450,47310986
20200925,14090,14155,13890,14040,70132452
20200924,14185,14295,13870,13915,93336355
20200923,14650,14715,13995,14565,118073758
20200922,15135,15195,14340,14475,87031205
20200921,15400,15685,15105,15190,54772040
20200918,15480,15535,15265,15465,53904047
20200917,15770,15795,15290,15350,67294499
20200916,15875,16015,15765,15825,44113563
20200915,15795,15950,15645,15930,47126371
20200914,15525,15720,15465,15685,35420567
